taxon,n.taxa
Marilyna_darwinii,3
Reicheltia_halsteadi,1
Tetractenos_hamiltoni,2
Torquigener_altipinnis,11
Torquigener_pleurogramma,10
Tylerius_spinosissimus,1
Takifugu_ocellatus,25
Lagocephalus_inermis,10
Sphoeroides_testudineus,25
Pelagocephalus_marki,1
Canthigaster_valentini,35
Tetraodon_cochinchinensis,9
Xenopterus_naritus,5
Carinotetraodon_travancoricus,3
Carinotetraodon_irrubesco,3
Tetraodon_mbu,6
Chelonodon_patoca,3
Tetraodon_fluviatilis,9
Arothron_diadematus,17
